age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,cons_conf_idx,euribor_3_month,deposit,age_bucket,previous_campaign
44,1,2,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
54,7,2,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
49,1,2,2,0,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,3,0
54,7,2,1,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
52,0,3,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
52,0,3,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
43,7,1,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
34,3,2,2,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
35,0,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
42,2,2,1,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
43,9,2,1,1,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
60,5,3,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
58,10,2,2,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
35,7,3,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
55,1,2,3,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
37,4,2,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
36,1,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
52,0,3,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
57,1,3,1,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
56,0,2,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
48,1,3,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
40,1,2,3,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
49,1,3,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
41,7,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
45,9,2,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
32,0,2,4,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
42,0,2,4,0,0,2,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
50,0,2,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
31,9,3,4,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
56,5,2,2,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
41,9,2,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,1,2,0
37,1,2,2,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
41,9,2,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
35,1,2,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
37,1,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
52,4,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
39,4,3,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
39,3,2,2,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
56,1,2,2,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
34,7,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
45,1,2,3,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,1,2,0
43,10,1,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
56,4,2,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
39,4,2,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
53,1,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
38,11,3,3,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,1,2,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,1,2,2,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
35,0,1,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
40,0,2,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
51,1,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
60,1,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
56,2,2,1,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
39,7,3,3,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
56,2,2,1,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
40,1,2,1,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
36,1,2,3,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
51,1,2,1,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
51,1,2,1,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
43,9,1,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
59,7,2,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
24,4,1,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,1,0
37,1,1,3,1,2,2,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
40,1,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,1,2,3,1,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
39,7,3,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
37,2,2,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
38,7,2,3,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
56,0,3,1,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
40,1,2,1,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
54,4,3,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
43,1,2,3,1,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
36,7,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
45,9,2,4,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,0,1,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
43,7,2,3,0,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
46,4,2,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
44,7,2,3,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
51,0,1,2,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
28,7,2,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
37,1,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
34,9,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
46,1,2,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
42,1,2,3,0,2,2,1,5,1,2,999,0,1,-36.4,4.857,1,2,0
36,0,2,4,0,2,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
54,1,2,2,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
57,4,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
51,9,2,2,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
54,5,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
49,1,2,2,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
34,0,2,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
41,9,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
38,1,1,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
45,4,3,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
42,9,2,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
34,1,1,3,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
48,1,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
37,0,2,3,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
34,1,1,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
40,0,2,3,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
43,1,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
33,7,2,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
32,7,1,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
39,1,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
43,0,2,1,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
44,1,2,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
35,8,1,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
35,8,1,4,1,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
35,10,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
36,7,1,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
35,8,1,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
36,8,1,3,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
55,3,3,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
59,0,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
57,5,2,1,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
39,1,2,4,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
39,3,2,2,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
30,1,1,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
30,1,1,1,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
50,3,2,2,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
40,7,2,3,0,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
35,0,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
43,9,2,1,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
36,7,1,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
46,9,2,2,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
40,9,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
58,5,2,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
42,9,2,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
35,0,1,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
43,5,2,2,1,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
45,1,2,2,0,2,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
39,0,2,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
50,7,3,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
32,4,3,2,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,1,0
39,0,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
52,6,2,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
44,0,2,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
56,1,2,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
48,0,2,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
33,7,2,3,1,0,2,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
43,4,2,4,1,0,2,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
57,5,2,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
36,9,1,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
34,4,2,4,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
34,7,1,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
30,9,2,4,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
33,7,3,1,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
32,9,1,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
36,9,1,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
36,1,1,3,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
33,7,1,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
40,9,3,4,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
41,1,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
51,7,2,2,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
36,9,2,4,0,2,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
28,7,2,1,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,1,0
53,7,2,3,0,2,2,1,5,1,3,999,0,1,-36.4,4.857,0,3,0
58,1,2,3,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
45,4,2,3,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
43,9,2,1,0,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
33,0,2,3,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
33,0,2,3,0,0,2,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
27,1,1,2,0,1,1,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
42,9,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
43,0,3,3,0,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
42,0,2,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
27,1,1,2,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,1,0
34,6,1,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
31,8,1,4,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,1,0
54,4,3,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
40,6,2,2,1,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
52,10,2,3,1,2,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
47,4,3,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
49,3,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
32,0,1,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,1,0
49,3,1,3,1,2,2,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
50,1,2,3,1,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,3,0
34,7,2,3,0,0,0,1,5,1,1,999,0,1,-36.4,4.857,0,2,0
55,1,2,2,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
47,9,1,3,0,0,0,1,5,1,4,999,0,1,-36.4,4.857,0,2,0
51,5,2,4,0,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,3,0
47,1,2,2,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
56,9,2,2,0,2,0,1,5,1,3,999,0,1,-36.4,4.857,0,3,0
53,0,2,3,0,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,3,0
36,1,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
42,1,3,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
44,1,3,2,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
39,3,2,3,0,2,0,1,5,1,3,999,0,1,-36.4,4.857,1,2,0
37,0,1,3,0,2,2,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
60,1,2,1,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
36,7,2,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
42,4,3,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
31,0,2,3,0,2,2,1,5,1,2,999,0,1,-36.4,4.857,0,1,0
53,9,3,4,1,0,2,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
45,1,2,2,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
37,9,1,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
47,6,2,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
49,1,3,3,0,0,2,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
36,0,2,4,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
35,7,3,3,0,0,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
38,11,2,1,1,0,0,1,5,1,4,999,0,1,-36.4,4.857,0,2,0
38,7,1,3,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
50,1,3,3,1,0,2,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
59,5,2,4,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
43,11,2,1,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
42,0,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
40,0,2,2,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
46,1,2,1,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
57,3,3,2,0,2,2,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
42,0,2,4,0,2,0,1,5,1,3,999,0,1,-36.4,4.857,0,2,0
41,1,2,2,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
54,4,3,4,0,2,0,1,5,1,3,999,0,1,-36.4,4.857,0,3,0
27,0,1,4,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,1,0
36,0,2,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
58,1,2,4,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
40,4,2,4,1,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
34,0,1,3,1,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
33,0,3,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
56,5,2,2,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,3,0
42,1,2,3,0,0,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
43,7,2,3,0,2,0,1,5,1,2,999,0,1,-36.4,4.857,0,2,0
54,4,1,3,0,2,0,1,5,1,3,999,0,1,-36.4,4.857,0,3,0
